"table_name"
analysis_jobs
rag_collection_bots
survey_ai_results
message_send_states
monthly_harassment_reports
user_mode_states
monthly_conversation_topics
monthly_usage_stats
monthly_sentiment_keywords
batch_execution_log
dashboard_stats
alert_notifications
alerts
analysis_policy_versions
batch_error_logs
batch_status
bot_rag_settings
broadcast_notices
broadcast_receipts
companies
consultation_options
consultation_questions
consultation_reports
conversation_issues
conversation_logs
conversation_modes
daily_sentiment_summary
feedback_surveys
harassment_assessments
followup_conversations
harassment_answers
harassment_incidents
harassment_reports
rag_vectors
leave_sessions
notifications
paid_leave_ledgers
paid_leave_requests
paid_leave_rules
perpetrator_scores
prompt_change_history
rag_access_keys
rag_collection_shares
rag_collections
rag_convert_jobs
rag_documents
rag_search_logs
registration_states
report_cache_org
report_cache_personal
report_feedback
sentiment_analysis
sentiment_analysis_backup_v5_1
survey_options
survey_questions
survey_responses
survey_results_snapshot
survey_rounds
system_health_logs
user_health_metrics
user_health_metrics_backup_v5_4
user_messages
v_bot_rag_collections
v_item_distribution_90d
v_rag_storage_usage
v_recent_user_text
v_user_latest_harassment_score
employees_mt
oem_partners
bot_configs
prompt_templates
processed_messages
email_accounts
users
email_summaries
user_settings
ignored_senders
stealth_point_history
stealth_usage_logs
stealth_petit_memory
stealth_users
race_entries
stadiums
racers
races
before_race_info
payouts
external_predictions
collection_logs
racer_period_course_stats
odds
race_results
payoffs
racer_period_stats
odds_history
boatrace_results
boatrace_entries
boatrace_payoffs
boatrace_programs
boatrace_beforeinfo
boatrace_weather
web_predictions
prediction_results
stadium_rankings_history
historical_import_progress
historical_race_results
historical_programs
import_batch_progress
spots
congestion_logs
egosa_targets
egosa_users
egosa_subscriptions
egosa_diagnosis_results
egosa_collection_results
egosa_collection_jobs
egosa_conversation_states
predictions
virtual_bets
virtual_funds
historical_payoffs
tabelog_stores
tabelog_reviews
