popularity,count,avg_payout
1,103310,798
2,85051,989
3,69216,1228
4,60018,1439
5,51596,1664
6,46029,1865
7,40734,2118
8,36748,2336
9,33436,2581
10,30325,2819
11,27846,3074
12,26131,3322
13,24008,3601
14,22240,3854
15,20429,4128
16,19097,4397
17,18038,4693
18,16796,4972
19,15863,5272
20,14905,5551
21,14050,5870
22,13120,6167
23,12732,6493
24,12038,6878
25,11299,7136
26,10686,7458
27,10353,7810
28,9885,8115
29,9562,8455
30,9005,8892
